Strategy,Position,Trade Price,Trade Time,Eval Time,Status
N15SMA3H,105,51382.9,2024-09-12 09:31:28.875552,2024-09-12 09:31:28.875552,1
N30EMA1H,105,51365.0,2024-09-12 09:46:53.939748,2024-09-12 09:46:53.939748,1
N30SMA3H,105,51299.95,2024-09-12 11:16:52.782389,2024-09-12 11:16:52.782389,1
N30EMA2H,105,51365.0,2024-09-12 09:46:54.511134,2024-09-12 09:46:54.511134,1
N60EMA5H,105,51299.95,2024-09-12 11:17:17.452642,2024-09-12 11:17:17.452642,1
NDEMA2H,-105,,,,
NDEMA9H,-105,,,,
N60SMA3H,-105,,,,
NDMACD1H,-105,,,,
NDSMA4H,105,,,,
NDEMA3H,-105,51131.6,2024-09-12 09:16:03.813757,2024-09-12 09:16:03.813757,-1
NDEMA13H,105,,,,
NDEMA5H,105,,,,
N15SMA2S,105,51382.9,2024-09-12 09:31:28.316667,2024-09-12 09:31:28.316667,1
N15SMA1S,105,51559.75,2024-09-12 14:16:28.227434,2024-09-12 14:16:28.227434,1
N30SMA5S,105,51559.75,2024-09-12 14:16:52.923460,2024-09-12 14:16:52.923460,1
N30EMA6S,105,51299.95,2024-09-12 11:16:55.227259,2024-09-12 11:16:55.227259,1
N15ST5S,105,51559.75,2024-09-12 14:16:31.041363,2024-09-12 14:16:31.041363,1
N60EMA4S,105,51318.6,2024-09-12 12:17:16.030937,2024-09-12 12:17:16.030937,1
N60SMA4S,105,51299.95,2024-09-12 11:17:15.658393,2024-09-12 11:17:15.658393,1
NDMACD2S,-105,,,,
N30ST4S,105,51559.75,2024-09-12 14:16:57.237456,2024-09-12 14:16:57.237456,1
N60SMA2S,105,,,,
NDST3S,-105,,,,
NDSMA4S,105,,,,
NDEMA10S,105,,,,
N30SMA1M,105,51365.0,2024-09-12 09:46:51.891689,2024-09-12 09:46:51.891689,1
N30EMA5M,105,51365.0,2024-09-12 09:46:55.869286,2024-09-12 09:46:55.869286,1
N30SMA5M,105,51559.75,2024-09-12 14:16:53.499123,2024-09-12 14:16:53.499123,1
N30SMA3M,105,51559.75,2024-09-12 14:16:52.324505,2024-09-12 14:16:52.324505,1
N30ST1M,105,51365.0,2024-09-12 09:46:57.910534,2024-09-12 09:46:57.910534,1
N60SMA3M,105,51835.3,2024-09-12 15:17:15.286698,2024-09-12 15:17:15.286698,1
N60SMA6M,105,51835.3,2024-09-12 15:17:16.216723,2024-09-12 15:17:16.216723,1
NDSMA1M,-105,,,,
N30SMA6M,-105,,,,
NDEMA1M,-105,51131.6,2024-09-12 09:16:02.893081,2024-09-12 09:16:02.893081,-1
N60SMA4M,105,,,,
NDST1M,-105,,,,
N60SMA1M,105,,,,
N15EMA1G,105,51324.7,2024-09-12 13:31:28.775038,2024-09-12 13:31:28.775038,1
N15SMA4G,105,51559.75,2024-09-12 14:16:29.089093,2024-09-12 14:16:29.089093,1
N60ST3G,105,51289.3,2024-09-12 10:17:17.074095,2024-09-12 10:17:17.074095,1
N30EMA4G,105,51299.95,2024-09-12 11:16:54.485789,2024-09-12 11:16:54.485789,1
N30EMA3G,105,51269.0,2024-09-12 10:46:53.984139,2024-09-12 10:46:53.984139,1
N30SMA1G,105,51357.85,2024-09-12 13:46:51.910364,2024-09-12 13:46:51.910364,1
N60ST4G,105,51835.3,2024-09-12 15:17:17.623087,2024-09-12 15:17:17.623087,1
N30SMA2G,105,51319.0,2024-09-12 11:46:52.065198,2024-09-12 11:46:52.065198,1
NDEMA6G,-105,51131.6,2024-09-12 09:16:05.045770,2024-09-12 09:16:05.045770,-1
NDEMA4G,-105,51131.6,2024-09-12 09:16:04.376886,2024-09-12 09:16:04.376886,-1
NDSMA3G,105,,,,
NDSMA7G,105,,,,
NDEMA2G,105,,,,
N5ST2N,105,51330.0,2024-09-12 09:21:07.550903,2024-09-12 09:21:07.550903,1
N15ST2N,105,51382.9,2024-09-12 09:31:30.548798,2024-09-12 09:31:30.548798,1
N15ST6N,105,51559.75,2024-09-12 14:16:31.879689,2024-09-12 14:16:31.879689,1
N15ST1N,105,,,,
N30EMA2N,105,51365.0,2024-09-12 09:46:55.089360,2024-09-12 09:46:55.089360,1
N60EMA2N,105,51289.3,2024-09-12 10:17:15.918620,2024-09-12 10:17:15.918620,1
N60SMA2N,105,,,,
N15SMA5N,-105,,,,
N30ST3N,105,51835.3,2024-09-12 15:16:54.371186,2024-09-12 15:16:54.371186,1
NDSMA5N,-105,51131.6,2024-09-12 09:15:59.541224,2024-09-12 09:15:59.541224,-1
NDST2N,-105,,,,
NDEMA1N,105,,,,
NDEMA7N,105,,,,
N60EMA7H,105,,,,
N60EMA8S,105,51299.95,2024-09-12 11:17:18.452643,2024-09-12 11:17:18.452643,1
N30EMA7M,105,51365.0,2024-09-12 09:46:56.522797,2024-09-12 09:46:56.522797,1
N30EMA8G,105,51559.75,2024-09-12 14:16:55.808301,2024-09-12 14:16:55.808301,1
NDEMA11N,-105,51131.6,2024-09-12 09:16:05.940517,2024-09-12 09:16:05.940517,-1
P5N30EMA1G,105,51357.85,2024-09-12 13:46:54.513777,2024-09-12 13:46:54.513777,1
P5N60MACD1G,105,,,,
P560EMA2G,105,51289.3,2024-09-12 10:17:18.132880,2024-09-12 10:17:18.132880,1
P5N30SMA2G,105,51559.75,2024-09-12 14:16:54.216539,2024-09-12 14:16:54.216539,1
P5N30ST2G,105,51559.75,2024-09-12 14:16:57.889568,2024-09-12 14:16:57.889568,1
P5N60EMA6G,105,51318.6,2024-09-12 12:17:18.760613,2024-09-12 12:17:18.760613,1
P5N60EMA3G,105,51559.75,2024-09-12 14:17:17.990364,2024-09-12 14:17:17.990364,1
P5DSMA1G,-105,,,,
P5N60ST1G,105,51559.75,2024-09-12 14:17:18.917861,2024-09-12 14:17:18.917861,1
